협력대학기관,연도,분야,연구ID,제목,참여학생,소속고등학교,지도교사,지도교수,연구요약,주제어
동아대학교,2025,수학,자율_수학_30,아핀 암호 알고리즘에서 보안 강화기법의 활용,고전적 암호인 아핀암호와 다른 종류의 암호들을 결합하여 보안성을 비교·분석하는 것을 목적으로,부산일과학고등학교,황종철,박상원,"시간 및 처리량 등을 통해 각 알고리즘의 강점과 취약점을 분석하였다. 연구 결과 아핀암호에 블록 셔플링 암호를 결합하였을 때 암호의 보안성은 향상되었으나 연산 속도 및 메모리 사용에서 한계가 존재하였고, 아핀암호에 RSA 지수 기반과 선형합동생성기를 적용한 결과 암호 구현은 용이 하나 보안 강도 측면에서 상대적으로 취약한 점이 확인되었다. 본 연구는 다양한 암호 기법의 이론적 배경과 실제 구현을 종합적으로 고찰함으로써 암호 기술의 발전 방향과 보안성 강화의 필요성을","아핀암호, RSA 지수기반 암호, 선형합동생성기(LCG), 블록 셔플링"
동의대학교,2024,화학,자_3_화학_40,수용액 내 금속이온의 고감도 센싱을 위한 기능화된 나노다공성 실리카,김민경･최은･문서현･이율,부산일과학고등학교,주민지,박성수,"본 연구에서는 실리카원으로 T EOS를 사용하고 주형으로 트리 블럭  공중합체 (P123)를 사용하여 산성 조건에서 자기조립 과정과 수열반응을 거친 뒤, 용 매추출법을 통해 성공적으로 배열된 육 방체구조의 메조 세공 배열을 가지는 나노다공성 실리카 물질(Surfactant-extracted SBA-15) 을 합성하였다. 또한, 본 연구에서는 일정한 나노미터 크기와 일반적으로 규칙적인 배열된 기공을 가지는 나노다공성 실리카 물질에 아미노 실란기를 개질시킨 다음(AAPDMS SBA-15) 다양한","나노다공성 실리카, 금속 이온 센싱, 육방체 구조, AAPDMS"
동의대학교,2024,정보,자_6_정보_30,생성형 인공지능을 이용한 코딩역량평가,김가영･정보경･변진서･김시형,부산일과학고등학교,김기범,이정훈,"본 연구는 코딩역량을 평가하는 기존 방식의 한계를 극복하고, 생성형 인공지능을 활용하여 보다 정확한 코딩역량평가 시스템을 개발하는 것을 목표로 한다. 연구는 파이썬 코딩 스타일 가이드 문서(PEP8)를 기준으로 코딩 역량평가를 진행하였다. 코딩 스타일 가이드 문서를 청크 단위로 나 누어 임베딩한 벡터스토어에 저장한다. 드의 문제점과 개선 방안을 제시하여 사용자의 코딩역량을 키우는 것을 돕는다.","PEP8, RAG, 임베딩, 리랭킹"
동의대학교,2024,정보,자_6_정보_31,,노윤건･배준영･전태윤･하영준,부산일과학고등학교,김기범,이정훈,기법을 통해 표 데이터를 자연어로 바꿔줌으로써 위와 같은 문제를 해결한다. 우리는 표 속성에 서 가장 상위 데이터를 기준으로 나열하고 가장 상위 데이터에서 하위 데이터가 추가되면 특정 기호를 통해 표 속성의 데이터 간의 연관성을 나타내는 전처리 방식을 고안하였다. 이후 RAG 과 이해하고 답변하도록 하였다. 그 결과 생성형 AI의 표의 인식률과 답변 정확도가 이전보다 향상,"생성형 AI, 표 데이터, 전처리 기법, 표 내 속성 간의 연관성, 질의응답 정확도"
동의대학교,2024,정보,자_6_정보_33,인공지능 기법을 활용한 반도체 결함 감지,임상아･최윤형･김태완･이연우,부산일과학고등학교,이수진,우영운,"본 연구는 인공지능 기법을 활용하여 반도체 결함 검사를 자동화하고 효율성을 극대화하는 방법 이 소요되고 정확도가 떨어지는 문제점을 가지고 있다. 이를 극복하기 위해 본 연구에서는 딥러 효과적으로 탐지할 수 있는 모델을 개발하였다. 이 모델은 웨이퍼 이미지를 학습 데이터로 활용 하며, 다양한 반도체 결함 유형을 자동으로 분류하고 검출하는 데 중점을 둔다. 향후 연구에서는 데이터셋을 다양화하고 추가적인 딥러닝 기법을 적용하여 모델의 성능을 더욱 향상시킬 예정이다.","결함 검사, 반도체, 인공지능, 딥러닝, CNN"
동의대학교,2024,정보,자_6_정보_34,유전 알고리즘을 이용한 최적화 기법 탐구,김가빈･김민겸･박시현･박주영,부산일과학고등학교,이수진,우영운,"기계학습은 데이터를 기반으로 기계가 스스로 학습하여 특정 작업을 수행하는 기술로, 그 활용 범위가 점점 넓어지고 있다. 본 연구에서는 인공신경망과 유전 알고리즘을 활용한 강화학습을 탐 구한다. 본 연구의 목표는 유전 알고리즘을 활용하여 강화학습 환경에서 최적의 하이퍼파라미터를 탐색하는 것이다. 이를 위해, 우선적으로 유전 알고리즘을 통해 마방진 문제를 해결하며, 그 과정 통해 최적의 학습 파라미터를 찾고, 이를 활용하여 강화학습 모델의 성능을 향상시키는 방법을","유전 알고리즘, 강화학습, 최적화, 바이페달워커"
부경대학교,2024,화학,자_3_화학_39,,서유성･최서준･하승민,부산일과학고등학교,여혜원,목진홍,"산균은 인체의 물질대사를 도와 그 필요성을 인정받고 있지만, 기존의 섭취 방법에는 편의성과 품을 개발하고자 한다. 김칫국물을 단계 희석법과 순수분리를 통해 유산균을 배양 후 API kit를 사용하여 동정하였다. 생산된 유산균을 통해 제작된 요구르트의 생균수, pH와 산도를 측정하였고 다. 또한 TPA 시험법을 통해 제작된 젤리의 물리적 특성을 분석하는 과정을 진행하였다. 이러한 옴 가열 기술의 실용적 활용을 통해 발효 식품의 새로운 가공 가능성을 제시하였다.","미생물 발효, 전기장 기반, 비가열 살균, 고령친화식품, 식품공학"
부산대학교,2024,수학,자_1_수학_34,질량-용수철 시스템의 수학적 모델링과 시간에,강민석･박선우･안정현･이서연,부산일과학고등학교,신한결,박선혜,"의존하는 미분방정식의 형태로 나타내고자 하였다. 핵심적인 내용으로는 상대속도의 제곱에 비례 하는 공기저항을 감쇄장치(damper)로 생각하고 이를 이용해 미분방정식을 변위 y에 대한 비선형 미분방정식을 모델링한 것이다. Python을 이용한 프로그램으로 값을 근사하여서 대수적으로 풀이 비교한다. 이를 통하여서 공기저항이 들어간 비선형 미분 방정식의 해를 다항, 초월함수로 근사할","미분방정식, 질량 – 용수철 시스템, 해, 해법"
부산대학교,2024,화학,자_3_화학_38,타이로신-설포베테인을 이용한 안티파울링,노준형･황준영,부산과학고등학교,황종률,홍대화,"타이로신 설포베테인은 중합과정에서 카테콜기와 아민기가 있어 강력한 접착력을 나타내고, 결합 한 설포베테인이 수화층을 형성하여 안티파울링 효과를 나타낸다. 실험실의 기판이 아닌 실생활 접촉각 단백질 부착 비교실험을 통해 코팅이 유의미한 수준으로 나타나며 안티파울링 효과 또한","실생활, 타이로신-설포베테인, 코팅, 안티파울링"
부산대학교,2024,화학,자_3_화학_41,전이금속 발색단 전자전이를 이용한 식품신선도 측정 컬러센서 개발,김동건･김민준･송준우･오승우,부산일과학고등학교,허은아,오진우,"실제 유통 환경에서 적용 가능한 실시간 식품 신선도를 감지하고자 하였다. 전이금속을 적용한 센서의 민감도를 증대시키고자 solvat ochromic effect, 산화와 환원, ligand strength를  적용한 array를 구축하였고 전이금속 중 Cu와 Co 를 이용하여 실험을 진행하였다. 센서 후보군은 140개 의 센서 어레이를 제작한 후 0.5M의 암모니아와 아민을 타겟으로 적용하여 스크리닝을 통해 선 정하였다. 결과적으로 10개의 센서 후보군을 선정하여 이를 종이 센서로 제작한 후, 밀폐된 용기","전이금속, 착화합물, 유해가스, 종이 컬러 센서"
부산대학교,2024,화학,자_4_생물_29,식물의 환경 스트레스 반응에 있어서 WRKY 전사인자의 기능 연구,문예은･안형민･이다현･조서현,부산일과학고등학교,박상영,문용환,"변이체를 이용하여 환경 스트레스 반응을 분석하였다. WRKY gene family의 한 종류인 WRKY31 전사인자 유전자의 과발현체를 만들기 위해 재조합 DNA로 형질전환된 식물을 제조했다. WRKY31 과발현체의 종자 선별이 잘 이루어지지 않아 고염 스트레스 반응을 확인할 때 WRKY31 knock out 돌연변이체를 사용했고, 그 결과 WRKY31이 고염 스트레스에 저항성을 Mannitol을 처리한 시간에 따른 WRKY31 발현량을 비교했고, WRKY31이 건조 스트레스에","WRKY31 전사인자, 애기장대, 식물 스트레스, 과발현체, 돌연변이체"
부산대학교,2024,화학,자_4_생물_30,식물의 환경 스트레스 반응 NAC 그룹 전사인자의 분자생물학적 특성에 관한 연구,심지민･손지민･김동찬,부산일과학고등학교,박상영,문용환,"본 연구는NAC 그룹 전사인자가 식물의 환경 스트레스 대응 메커니즘에서 수행하는 역할을 규명 하고자 NAC047과 NAC102 유전자에 대해 분자생물학적 특성을 분 석하였다. NAC047과 NAC102 유전자 증폭을 위해PCR을 수행하였으 며, EcoRI 제한효소를 이용해 벡터에 삽입하고 대장균 형질전환과 플라스미드 추출을 통해 클로닝 성공 여부를 확 인하였다. 실험 결과 NAC047 유전자는 효모 형질전환과 β-gal filter assay 및 growth assay에서 전사 활성화 기능을 가짐","NAC 047, 유전자 클로닝, 형광단백질 분석, RT-PCR"
부산대학교,2024,화학,자_4_생물_31,포도당 수송체를 표적으로 하는 교모세포종,박소은･배강민･이한준･전예따,부산일과학고등학교,강옥화,윤부현,암세포는 GLUT3에 가장 의존적이므로 ‘GLUT3의 발현량을 낮추었을 때 암세포가 포도당을 공급받지 못해 사멸할 것이다’라는 가설을 세우고 실험을 수행하였다. 가설을 확인하기 위해 GLUT3의 발현을 확인하였다. 그리고 western blot을 통해 단백질의 발현량을 확인한 다음에 immunocytochemistry(ICC)를 통해서 단백질의 위치를 확인하였다. 그리고 GLUT3를 knock down시키고 transfection을 통해서 GLUT3의 중요성을 확인하였다. cell viability ass ay &,"교모세포종, GLUT3, 표적 저해제, 유전자 발현 조절"
부산대학교,2024,화학,자_4_생물_32,신규 아연 수송체를 표적으로 하는 교모세포종,유가영･오정연･허지효,부산일과학고등학교,강옥화,윤부현,"교모세포종(Glioblastoma)은 뇌 조직에 풍부한 신경교세포에서 발생하며 가장 공격적인 원발성 서는 방사선 저항성 세포주에서 과발현된 아연 수송 단백질인 ZIP4-variant을 표적으로 선정하고 그 결과 U87MG-RR에서 ZIP4-variant는 방사선 조사로 증가된 세포 내 ROS를 감소시켜서 ER stress를 완화시키고, 이는 곧 세포의 생존율을 증가시킨다는 것을 알 수 있었다. 이를 통하여 ZIP4-variant로 인한 Zinc 수송이 방사선 조사에 의한 세포 손상을 감소시키므로 Zip4-variant 의","Glioblastoma, ZIP4-variant,  ER stress, ROS, Radioresistanc e"
부산대학교,2025,생명과학,지정_생명과학_15,천연물에 의한 위장관 질환 관련 네트워크,권도현·김가윤·양승민,창원과학고등학교,강예진,김병주,"이 연구는 기능성 소화불량에 대해 한약의 작용 기전을 규명하기 위하여 감초, 복령, 백출을 대상 으로 네트워크 약리학과 DPPH 분석, 세포 실험을 수행하였다. TCMSP, ETCM2.0, TCM Bank를 통해 수집한 화합물 및 표적 단백질 정보를 기반으로 PPI 네트워크를 구축한 결과로는 분자 도킹 결과 각 약재의 주요 화합물은 우수한 결합 친화도를 보여주었다. DPPH 분석에서 감초&복령 열 추출물이 가장 높은 항산화 활성을 나타냈고, 세포 실험에서는 감초&복령 조합이","네트워크 약리학, 기능성 소화불량, DPPH, 세포 실험"
부산대학교,2025,융합,지정_융합_23,,"였다. 전기 회로의 기초 개념과 직렬 RLC 회로를 활용하여 교류 전류, 공진 주파수, 코일 간",충북과학고등학교,정승환,박관수,"본 연구에서는 Faraday 법칙을 기반으로 한 공진식 무선충전의 원리와 전력 전송 특성을 탐구하 간격에 따른 출력 전력 변화를 이론적으로 분석하였다. 또한, 유도식과 공진식 무선전력전송의 차이를 비교하고, 공진 조건에서 출력 전력이 최대가 되는 원리를 규명하였다. 유도식 무선전력전 송과 공진식 무선전력전송을 구현하고, 이후 공진식 무선전력전송 방식의 2차측 코일의 각도에 따른 효율 변화를 타구하였다. 연구 결과, 공진식 무선충전은 Faraday 법칙의 기본 원리를 따르","공진식 무선충전, Faraday 법칙, RLC 회로, 전력 전송, 공진 주파수ㄴ"
삼천중학교,2024,수학,자_1_수학_25,마르코프체인 몬테카를로 방법을 이용한 해양,김시우･김정원･정소연,대전과학고등학교,김근배,김한길,"본 연구는 라그랑지안 입자 기반 시뮬레이션을 활용하여 해양 오일 유출 사고 시 오일의 확산 경로와 면적을 예측하였다. 해류와 바람 데이터를 바탕으로 3차원 공간에서 오일 입자의 이동을 추적하였으며, 1000개의 입자가 시간에 따라 경도 , 위도, 수심 방향 으로 이동하는 과정을 시뮬레 이션하였다. 시뮬레이션 결과, 오일 입자들은 해류와 바람의 영향을 받아 초기 유출 지점에서부터 넓은 영역으로 확산되었고, 특정 지역에 오일 농도가 높게 나타나는 경향을 보였다. 본 연구는","몬테카를로, 해양 오일 유출, 라그랑지안 입자 시뮬레이션, 오일 확산 경로, MCMC"
서울대학교,2024,수학,자_1_수학_45,그래프 이론과 기하구조를 활용한 인천광역시 대중교통망의 분석과 고찰,김  겸 ･김상혁･강민준･박준우･임명준,인천과학고등학교,이재하,김서령,"교통망에 그래프 이론을 적용해 분석한 연구는 여러 가지 있지만, 구체적으로 노선망과 관련하여서, 최소 해밀턴 경로 산출을 통해 단일 노선을 선정하는 방법을 제시하였다. 여기에서는 인천광역시 10% 이상 감축시키는 버스 노선을 제안하였으며, 이에 그치지 않고 델로네 삼각분할을 응용한 기하 구조를 통해 효율적 교통망의 일반해를 제시함으로써 대다수의 일반적 경우에 적용할 수 있는 교통 문제 해결에 대한 방법론을 제시하였다.","그래프 이론, 복잡도, 최단 경로, 외판원 순환 문제, 델로네 삼각분할"
서울대학교,2024,수학,지_1_수학_63,민코프스키의 매장을 활용한 대수적 수 연구,김한별･정한성･이창주,대구과학고등학교,최재혁,김도형,"민코프스키 매장은 벡터에 대해서 특정한 곱셈법칙을 만족하는 집합을 정의하였을 때, 그 집합을 만들기 위한 연산을 행하는 함수를 말하며, 이를 활용하여 새로운 집합을 정의하였다. 벡터의 연산과 관련하여 새로운 집합을 정의하고, 이를 좌표평면에 점들로 나타내어 무한다각형의 꼭짓점을 집합의 꼭짓점의 규칙성을 확인하고, 이를 비교 분석하였다. 또한, 의 배수의 합 집합은 J를 정의하여, 무한다각형을 그리고 꼭짓점을 d값에 따라 비교 분석하고자","민코프스키 매장, 무한다각형, 벡터의 집합"
서울대학교,2024,물리,자_2_물리_71,측선 모방 관 형태의 수중 마이크의 공명,김영민･박민재,충남과학고등학교,김용실,석효준,"참돔이 소리를 어떻게 감지하는지 원리를 조사하고, 이를 기반으로 수중 마이크의 개발을 목표로 본 연구를 수행하였습니다. 참돔의 측선은 소리 감지와 물체 인식을 위한 중요한 감각 기관으로, 이를 모방하여 음파 감지 가능한 수중 마이크를 설계 및 제작하였습니다. 여러 형태의 관에 압전 압전소자를 이용해 감지하고, 이를 Wolfram Language를 이용하여 분석하여 어떠한 파동의 형 태가 어떠한 전류의 변화를 유도하는지를 알아보는 연구를 수행하였습니다. 이를 토대로 가장 적","측선, 압전 소자, 관형 수중 마이크"
서울대학교,2024,물리,자_2_물리_72,전기장 내 대전된 유체에 의한 산란광의,김건우･최정후,충남과학고등학교,김용실,석효준,"의 물리량을 측정할 수 있으며, 이는 미세 입자의 정밀 분석에 활용될 수 있다. 본 연구에서는 밀리컨 실험장치를 이용하여 전기장 내 기름방울의 산란 편광에 대한 분석을 진행하고 전하량과 산란 편광의 상관관계를 분석한다. 기름방울에 레이저를 쌌을 때 산란광과 편광판을 활용했을떄 수직, 수평 편광을 촬영한다. 실험을 통해 얻은 이미지를 분석함으로써 수직편광과 수평편광을 분 석했다. 전하량에 따른 수직편광과 수평편광의 상관성을 얻는데 어려움을 겪었으나, 편광 필름을","산란, 편광, 전기장, 레이저, 밀리컨 유적 실험 장치"
서울대학교,2024,융합,자_8_융합_21,인공지능을 활용한 재생에너지 생산량 및 에너지 소비량 예측을 통한 최소 화석연료,남의연･민가연･박가현･서유진,동신과학고등학교,서광운,남보우,"본 연구는 인공지능을 활용하여 재생에너지 생산량을 예측하고, 이를 바탕으로 최소 화석연료 소 비량 산정을 목적으로 한다. 다양한 기상 조건에서의 풍력발전 실험을 통해 발전량 데이터를 수 집하고, 이를 머신러닝 모델에 적용하여 재생에너지 생산량을 예측하였다. 이러한 예측 데이터를 문제에 대응하는 지속 가능한 에너지 관리 시스템의 가능성을 제시하였다. 연구 결과는 특정 지 역의 기상조건에 따라 변동하는 에너지 생산량을 사전에 파악하고, 이를 바탕으로 화석연료 사용","AI, 머신러닝, 신재생에너지, 환경보호, 기상"
서울대학교,2025,생명과학,지정_생명과학_13,제로슈거(zero-sugar) 음료에서 나타나는,"본 연구에서는 Ace-K, 아스파탐, 사카린, 수크랄로스 4종의 인공감미료를 대상으로 뒷맛",세종과학고등학교,이은지,최명환,(off-response) 발생 양상을 비교하였다. 총 59개의 데이터를 분석한 결과 사카린과 Ace-K는 뒷맛인지 비율과 gLMS 강도가 높았으며 수크랄로스와 아스파탐은 뒷맛이 거의 보고되지 않았다. 해석된다. 또한 감미료 혼합 시 단맛이 증가하고 뒷맛이 감소하는 경향이 관찰되었다. 본 연구는 연구의 기초자료로 활용될 수 있다.,"인공감미료, gLMS, 뒷맛, 임상실험"
서울대학교,2025,생명과학,지정_생명과학_18,제로슈거 음료에서 나타나는 뒷맛 연구,"하는지, 그리고 감미료의 조합에 따라 변형하는 수용체 결합 양상 및 지속시간에 대해 탐구하고",한성과학고등학교,이지선,최명환,"본 연구는 제로슈거 음료에서 흔히 보고되는 대체감미료의 뒷맛과 잔류감이 어떤 수용체에 결합 자 한다. 본 연구는 설탕과 같은 단맛의 스테비아, 알룰로스, 수크랄로스, 아세설팜칼륨, 사카린 용액을 제조한 뒤 혼합 용액을 포함하여 24명을 대상으로 2번씩, gLMS 감각평가를 실시하고 ANOVA와 선형 혼합 모델을 이용해 효과를 보정하였다. 결과적으로 각각의 감미료에 따른 단맛 증폭되고, 동일 쓴맛 수용체를 자극하는 감미료 조합에서는 뒷맛이 감소할 가능성을 확인하였고,","대체감미료, 단맛, 뒷맛, 잔류감, 수용체, 감각평가"
서울대학교,2025,정보,지정_공학_33,,"GC-MS로 지방산을 정량하였으며, 내부표준법과 검량선을 활용해 분석 정확도를 확보하였다. 두",대구과학고등학교,추재석,이윤우,"본 연구는 유탕처리 과자에 잔존하는 지방을 효과적으로 제거하기 위한 추출 기술을 비교하였다. 시판 과자를 대상으로 헥세인을 이용한 속슬렛 추출법과 초임계 이산화탄소 추출법을 적용하여 추출 수율과 지방 조성을 분석하였다. 속슬렛 추출로 회수한 지방은 FAME으로 전환한 뒤 반면, 초임계 추출은 친환경적이고 잔류 용매가 없어 식품 공정 적용 가능성이 높았다. 또한 지질",지질　추출，초임계추출，기름제거，탈지공정，식품공학
서울대학교,2025,융합,지정_융합_14,,"하였다. 분산관계식으로부터 계수 함수 ()를 계산하고, 이를 이용해 운동 방정식을 적분하여",경기과학고등학교,권민정,김웅태,"본 연구는 은하 원반에서 나타나는 나선팔 형성 과정을 스윙 증폭 이론에 기반해 수치적으로 분석 증폭 계수 를 산출하였다. ( , ) 파라미터 공간을 체계적으로 탐색한 결과, 증폭은 ≈1.4, ≈1.0에서 극대화되는 경향을 보였으며 이는 기존 이론과 값에서 차이가 나타난다. 또한, 일 부 조건에서는 =0부근에서 변위가 비정상적으로 소멸하거나 전역 분포에서 이상점이 발생하는 등 구조적 한계가 확인되었다. 이는 단순한 수치 오차가 아니라 분산관계식의 특성에서 비롯된","스윙 증폭, 나선팔, 은하 원반, 수치 해석, 증폭 계수"
서울대학교,2025,융합,지정_융합_19,은하 막대 형성에 필요한 N체 시뮬레이션의,"우주는 은하와 같은 거대 구조로 이루어져 있으며, 이들의 형성과 진화를 이해하기 위해 수치적",한성과학고등학교,서윤희,김웅태,"기법인 N체 시뮬레이션이 널리 활용된다. 본 연구는 은하에서 막대 구조가 안정적으로 형성되기 위해 필요한 N체 시뮬레이션의 최소 해상도를 규명하는 것을 목적으로 한다. 해상도를 1/2씩 단계적으로 감소시키며 막대 형성 여부, 강도(A2/A0값), 길이를 분석하였다. 분석 결과, 해상도가 입자 30,000개 이상일 때부터 막대 구조가 안정적으로 발생하는 것을 확인하였다. 이는 해상도에 따른 막대의 특성을 파악하고, 실제 은하의 구조를 재현하기 위한 N체 시뮬레이션의 최소 해상도","N체 시뮬레이션, 은하 진화, 막대 구조, 해상도, 중력"
성균관대학교,2024,수학,지_1_수학_71,개인맞춤형 AI 대입 수능 수학 문제집과 답안을 생산하여 제공하는 연구,김민소･손서휘･김지안,한성과학고등학교,김완규,이상구,"있다. 문제 생성의 기본 코드와 샘플 수능문제 세트는 지도 교수님이 제공하였으며, 본 연구에서는 이를 개선하여 실제 사용자가 활용가능한 단계까지 업그레이드하는 연구를 진행하였다. 특히 난이도 조절에 중점을 두고 있다. 문제의 복잡성이 증가할수록 난이도가 올라가며, 문제에서 요구하는 논리의 수가 많아지고 어떤 논리를 사용해야 할지 추론하기 어려울수록 문제가 어려워진다고 판단했다. 또한 문제 제시뿐만 아니라 다른 하위요소들, 객관식 보기, 문제의 변수, 설명 등에서도","생성형 AI, 문제의 난이도 조절, 변수, 다양한 유형, 정답과 풀이 제공, 자기주도 완전"
아주대학교,2024,정보,자_6_정보_02,산업제어 시스템에서의 머신러닝 및 딥러닝 기반 이상탐지,염상준･최현서,경기과학고등학교,채상미,최영준,"최근 4차 산업혁명 시대가 도래함에 따라 많은 양의 정보가 네트워크를 통해 오간다. 이와 동시 에 보안을 위협하려는 시도가 증가하고 있으며, 네트워크의 침입 탐지에 대한 연구 또한 활발하 게 진행되고 있다. 하지만 산업제어시스템의 경우 일반적인 시스템과 구조가 다르기에 기존의 침 입 탐지 알고리즘을 변형하여 적용할 필요가 있다. 본 연구에서는 산업 네트워크에서 가장 효율 적으로 작동하는 침입탐지 모델을 구현하고자 하였다. 머신러닝 및 딥러닝 기반 모델을 이용하여",": 이상 탐지, 인공지능, 정보보안, 데이터 분석"
연세대학교,2024,지구과학,자_5_지구과학_08,,,경기북과학고등학교,오병현,이준형,"본 연구는 2023년 2024년 발생한 지진과 그 이전의  규모가 큰 지진의 매커니즘을 분석하여 한 반도 단층의 분포 특성을 확인하고자 진행되었다. 본 연구에서는 Seismic Analysis Code(SAC)과 Shell script를 활용하여 지진파형을 분석, p파 초동분석법을 기반으로 단층면해를 결정하였다. 2023~2024년 발생한 지진과 2016년 경주지진에 대하여  14개의 단층면해를 구한 결과 한반도 내륙에는 주로 북동-남서 방향의 주향이동성 단층이 분포하는 반면 동해 해역에는 역단층의 분포","지진, 한반도, 단층면해"
연세대학교,2024,지구과학,자_5_지구과학_09,,서승재･박정환･이종원,경기북과학고등학교,오병현,이준형,에서 데이터 처리는 python으로 프로그램을 제작하여 효율적으로 수행한다. 본 연구를 통해서 일반인들의 지진 자료에 대한 접근성과 이해도가 높아질 것이다.,"지진, 진앙, 진원, PS시, python"
연세대학교,2024,융합,지_8_융합_57,나노물질로서 CQDs의 고차단성 고분자 복합소재 응용연구,최현서･김민건･서윤성･전경찬,대전동신과학고등학교,길성호,서종철,본 탐구에서는 식품 포장용 필름에 미강 가루를 전구체로 해 합성한 CQDs를 도입한 기능성 필 름을 합성한다. 미강 가루를 가열 및 가압하여 CQDs를 합성하고 분석기기들을 통해 합성된 심분리기를 통한 약 5nm 크기의 물질의 추출로 이루어진다. UV램프를 통해 합성된 CQDs의 자 식품 포장 필름으로써의 적합성을 판단한다.,"CQDs, PVA, TEM, IR, UV-vis"
연세대학교,2025,지구과학,자율_지구과학_09,머신러닝을 활용한 지진파 자동 분석 및 진원거리 추정 시스템 개발,"학습하고, 관측소–진앙 간 거리를 자동 추정한 뒤 가중 최소 제곱 삼각측량으로 진앙을 산출하였다.",경기북과학고등학교,오병현,이준형," 조합) 적용을 통해 단계적으로 성능을 향상시켰다. 그 결과 평균 오차 5.1 ㎞, 진앙 결정이 가능함을 확인하였다. 본 연구는 지진 조기경보의 자동화 및 고도화를 위한 기초적","지진파 자동 분석, 진앙 결정, 기계학습, 삼각측량, 가중치 최적화"
연세대학교,2025,정보,지정_공학_32,,"자외선(UV)의 유해성과 기존 상용 차단제의 안전성 문제 해결을 위해, 친환경 천연물인 녹차잎을",대구과학고등학교,배태윤,서종철,"전구체로 탄소 양자점(CQDs)을 합성하고 이를 적용한 다기능성 복합 필름을 개발하였다. 합성된 필름의 특성을 PL, UV-Vis, UTM, OTR 분석을 통해 종합적으로 평가하였다. 분석 결과, 필름 은 520 nm 파장에서 강한 녹색 형광을 나타냈으 며, 400 nm 이하의 자외선 영역을 효과적으로 차단하면서도 우수한 가시광 투과도를 보였다. 기계적 물성 평가에서는 약 25-26 MPa의 높은 인장 강도와 125%의 연신율을, 가스 투과도 분석 에서는 우수한 산소 차단 능력을 입증하였다.","QD 필름, UV 차단 소재, 광안정성, 광범위 흡수"
연세대학교,2025,정보,지정_공학_36,2D 나노소재를 이용한 산소 차단성 코팅소재,오정우·정연서·변재원·이동우,한성과학고등학교,김영호,서종철,"국본 연구에서는 MoS 2-CuQD 복합체를 활용한 PVA(polyvinyl Alcohol) 기반 필름을 제작하고, 사용된 시료의 광학적, 기계적, 열적 특성과 필름의 식품 보존 성능을 평가하였다. 합성된 복합 필름은 자외선 차단 효과와 높은 광투과율을 동시에 확보하였으며, 산소 투과율이 99% 이상 감소 강도가 향상됨을 확인하였다. 부패 억제 실험 결과, MoS 산화 방지 효과를 보여 식품의 신선도를 가장 오래 유지하였다. 이러한 결과는 MoS 2의 층상","MoS , CQD, CuQD, 산소투과성"
영남대학교,2024,화학,자_3_화학_16,실리카 내 형성된 페로브스카이트 퀀텀닷의,노현우･이연우･최민준,경산과학고등학교,이동권,윤석준,"페로브스카이트는 최근 연구된 발광체이다. 수용액 상태의 페로브스카이트는 가공과 보관, 활용성 측면에서 한계가 있어 디스플레이 소자로 사용하기 어렵다. 따라서 본 연구는 페로브스카이트 퀀텀 닷(PQD)이 발광체로서의 성질을 띤다는 것에 착안하여 고체 페로브스카이트 제작을 통한 디스플레 이의 활용 가능성을 확인하기 위해 진행되었다. 먼저 수용액 상의 페로브스카이트를 제작하고, 상온 에서 굳혀 고체상의 페로브스카이트를 제작한다. 그 후 가열한 뒤 Duetta로 흡·형광도를 측정하였","페로브스카이트, 양자점, 할로젠 교환 반응, 흡·형광, 디스플레이/발광체"
영남대학교,2024,화학,자_3_화학_27,다차원 페로브스카이트간 상호 작용 기반,남광록･김지헌･박전한결,대구일과학고등학교,박종인,윤석준,"할라이드 페로브스카이트는 페로브스카이트 구조를 지니는 물질의 일종이다. 매우 뛰어난 광학적, 전기적 특성을 지닌다. 할라이드 페로브스카이트를 3D bulk와 0D Quantum Dot으로 이용한","Halide Perovskite, Quantum Do t, Absorbance, PL intensity, interaction"
영남대학교,2024,화학,자_3_화학_28,코어쉘 퀀텀닷 기반 3차원 페로브스카이트 활성층 적층 거동 및 태양전지에의 응용 연구,박지훈･장재원,대구일과학고등학교,박종인,윤석준,"core-shell perovskite quantum dot을 이용하고 해당물질의 농도가 페로브스카이트 태양전지 의 grain 크기와 광전환 효율에 미치는 영향을 분석하였다. 다양한 농도를 가진 페로브스카이트 QD을 이용해 태양전지를 제작하고 표면의 결정립 크기를 주사전자현미경(SEM)을 통해 관찰하였 다 또한, 태양전지 소자의 전기적 특성을 측정하여 광전변환 효율의 변화를 평가하였다. 연구 결 과 QD의 농도가 높아질수록 grain size도 증가한다고 나타났고 태양전지의 효율은 특정한 QD","perovskite, Quantum Dot"
